Meas_num,Date,Label,ID,Treatment,Area,acini_segment,type,hue,saturation,brightness
4,20190221,20190221-007-10X.jpg,_007,Low,165.141,C,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-007-10X.jpg,_007,Low,214.081,D,total_area,NA,NA,NA
2,20190221,20190221-007-10X.jpg,_007,Low,4.135,D,lumen,198:255,120:255,90:215
3,20190221,20190221-007-10X.jpg,_007,Low,30.376,D,zoa,158:185,195:255,90:215
4,20190221,20190221-007-10X.jpg,_007,Low,156.626,D,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-012-10X.jpg,_012,Low,641.293,A,total_area,NA,NA,NA
2,20190221,20190221-012-10X.jpg,_012,Low,73.063,A,lumen,198:255,120:255,90:215
3,20190221,20190221-012-10X.jpg,_012,Low,173.468,A,zoa,158:185,195:255,90:215
4,20190221,20190221-012-10X.jpg,_012,Low,477.524,A,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-012-10X.jpg,_012,Low,301.567,B,total_area,NA,NA,NA
2,20190221,20190221-012-10X.jpg,_012,Low,49.945,B,lumen,198:255,120:255,90:215
3,20190221,20190221-012-10X.jpg,_012,Low,93.052,B,zoa,158:185,195:255,90:215
4,20190221,20190221-012-10X.jpg,_012,Low,207.993,B,cytes_zoa,158:195,145:255,90:215
1,20190221,20190221-012-10X.jpg,_012,Low,627.426,C,total_area,NA,NA,NA
2,20190221,20190221-012-10X.jpg,_012,Low,93.695,C,lumen,198:256,120:256,90:215
3,20190221,20190221-012-10X.jpg,_012,Low,199.411,C,zoa,158:205,195:256,90:215
4,20190221,20190221-012-10X.jpg,_012,Low,359.236,C,cytes_zoa,158:215,145:256,90:215
1,20190221,20190221-012-10X.jpg,_012,Low,324.792,D,total_area,NA,NA,NA
2,20190221,20190221-012-10X.jpg,_012,Low,46.875,D,lumen,198:256,120:256,90:215
3,20190221,20190221-012-10X.jpg,_012,Low,77.27,D,zoa,158:205,195:256,90:215
4,20190221,20190221-012-10X.jpg,_012,Low,196.512,D,cytes_zoa,158:215,145:256,90:215
1,20190221,20190221-014-10X.jpg,_014,Low,163.543,A,total_area,NA,NA,NA
2,20190221,20190221-014-10X.jpg,_014,Low,3.649,A,lumen,198:256,120:256,90:215
3,20190221,20190221-014-10X.jpg,_014,Low,6.943,A,zoa,158:205,195:256,90:215
4,20190221,20190221-014-10X.jpg,_014,Low,80.521,A,cytes_zoa,158:215,145:256,90:215
1,20190221,20190221-014-10X.jpg,_014,Low,180.166,B,total_area,NA,NA,NA
2,20190221,20190221-014-10X.jpg,_014,Low,3.778,B,lumen,198:256,120:256,90:215
3,20190221,20190221-014-10X.jpg,_014,Low,22.685,B,zoa,158:205,195:256,90:215
4,20190221,20190221-014-10X.jpg,_014,Low,101.512,B,cytes_zoa,158:215,145:256,90:215
1,20190221,20190221-014-10X.jpg,_014,Low,95.248,C,total_area,NA,NA,NA
2,20190221,20190221-014-10X.jpg,_014,Low,0.76,C,lumen,198:257,120:257,90:215
3,20190221,20190221-014-10X.jpg,_014,Low,3.02,C,zoa,158:225,195:257,90:215
4,20190221,20190221-014-10X.jpg,_014,Low,50.874,C,cytes_zoa,158:235,145:257,90:215
1,20190221,20190221-014-10X.jpg,_014,Low,269.121,D,total_area,NA,NA,NA
2,20190221,20190221-014-10X.jpg,_014,Low,3.163,D,lumen,198:257,120:257,90:215
3,20190221,20190221-014-10X.jpg,_014,Low,19.541,D,zoa,158:225,195:257,90:215
4,20190221,20190221-014-10X.jpg,_014,Low,151.648,D,cytes_zoa,158:235,145:257,90:215
1,20190221,20190221-15-10X.jpg,15,Ambient,968.814,A,total_area,NA,NA,NA
2,20190221,20190221-15-10X.jpg,15,Ambient,77.808,A,lumen,198:257,120:257,90:215
3,20190221,20190221-15-10X.jpg,15,Ambient,93.166,A,zoa,158:225,195:257,90:215
4,20190221,20190221-15-10X.jpg,15,Ambient,429.764,A,cytes_zoa,158:235,145:257,90:215
1,20190221,20190221-15-10X.jpg,15,Ambient,1769.826,B,total_area,NA,NA,NA
2,20190221,20190221-15-10X.jpg,15,Ambient,99.209,B,lumen,198:257,120:257,90:215
3,20190221,20190221-15-10X.jpg,15,Ambient,204.492,B,zoa,158:225,195:257,90:215
4,20190221,20190221-15-10X.jpg,15,Ambient,892.202,B,cytes_zoa,158:235,145:257,90:215
1,20190221,20190221-15-10X.jpg,15,Ambient,293.883,C,total_area,NA,NA,NA
2,20190221,20190221-15-10X.jpg,15,Ambient,21.149,C,lumen,198:258,120:258,90:215
3,20190221,20190221-15-10X.jpg,15,Ambient,28.02,C,zoa,158:245,195:258,90:215
4,20190221,20190221-15-10X.jpg,15,Ambient,149.54,C,cytes_zoa,158:255,145:258,90:215
1,20190221,20190221-15-10X.jpg,15,Ambient,880.55,D,total_area,NA,NA,NA
2,20190221,20190221-15-10X.jpg,15,Ambient,95.81,D,lumen,198:258,120:258,90:215
3,20190221,20190221-15-10X.jpg,15,Ambient,110.525,D,zoa,158:245,195:258,90:215
4,20190221,20190221-15-10X.jpg,15,Ambient,485.933,D,cytes_zoa,158:255,145:258,90:215
1,20190221,20190221-020-10X.jpg,_020,Low,545.951,A,total_area,NA,NA,NA
2,20190221,20190221-020-10X.jpg,_020,Low,38.743,A,lumen,198:258,120:258,90:215
3,20190221,20190221-020-10X.jpg,_020,Low,127.065,A,zoa,158:245,195:258,90:215
4,20190221,20190221-020-10X.jpg,_020,Low,356.788,A,cytes_zoa,158:255,145:258,90:215
1,20190221,20190221-020-10X.jpg,_020,Low,555.4,B,total_area,NA,NA,NA
2,20190221,20190221-020-10X.jpg,_020,Low,76.97,B,lumen,198:258,120:258,90:215
3,20190221,20190221-020-10X.jpg,_020,Low,137.15,B,zoa,158:245,195:258,90:215
4,20190221,20190221-020-10X.jpg,_020,Low,331.4,B,cytes_zoa,158:255,145:258,90:215
1,20190221,20190221-020-10X.jpg,_020,Low,475.059,C,total_area,NA,NA,NA
2,20190221,20190221-020-10X.jpg,_020,Low,45.484,C,lumen,198:259,120:259,90:215
3,20190221,20190221-020-10X.jpg,_020,Low,108.437,C,zoa,158:265,195:259,90:215
4,20190221,20190221-020-10X.jpg,_020,Low,297.859,C,cytes_zoa,158:275,145:259,90:215
1,20190221,20190221-020-10X.jpg,_020,Low,146.963,D,total_area,NA,NA,NA
2,20190221,20190221-020-10X.jpg,_020,Low,17.223,D,lumen,198:259,120:259,90:215
