date,animal,egg size
20190221,059,11.111
20190221,059,10.474
20190221,059,9.952
20190221,059,3.387
20190221,059,10.026
20190221,059,3.317
20190221,059,6.285
20190221,059,20.053
20190221,059,17.389
20190221,059,17.166
20190221,059,7.489
20190221,059,3.26
20190221,059,5.129
20190221,059,6.956
20190221,059,29.493
20190221,059,12.284
20190221,059,17.791
20190221,059,9.679
20190221,059,25.606
20190221,059,17.427
20190221,059,19.084
20190221,059,10.855
20190221,059,4.83
20190221,059,5.268
20190221,059,17.614
20190221,059,3.971
20190221,059,5.804
20190221,059,13.66
20190221,059,12.087
20190221,059,18.947
20190221,059,23.282
20190221,059,7.949
20190221,059,12.69
20190221,059,13.583
20190221,059,15.68
20190221,059,9.277
20190221,059,6.305
20190221,059,21.487
20190221,059,13.827
20190221,059,22.245
20190221,059,10.749
20190221,059,27.511
20190221,059,18.574
20190221,059,6.661
20190221,059,26.144
20190221,059,22.662
20190221,059,29.06
20190221,059,21.697
20190221,059,34.84
20190221,059,31.896
20190221,059,28.112
20190221,059,20.678
20190221,059,22.755
20190221,059,20.757
20190221,059,17.31
20190221,059,21.958
20190221,059,16.798
20190221,059,19.395
20190221,059,20.843
20190221,059,7.439
20190221,059,39.101
20190221,059,16.24
20190221,059,19.11
20190221,059,19.373
20190221,059,16.18
20190221,059,9.282
20190221,059,21.238
20190221,059,15.134
20190221,059,28.052
20190221,059,25.441
20190221,059,14.402
20190221,059,24.007
20190221,059,7.48
20190221,059,14.349
20190221,059,27.968
20190221,059,31.312
20190221,059,4.521
20190221,059,11.233
20190221,059,26.264
20190221,059,28.636
20190221,059,7.453
20190221,059,23.919
20190221,059,28.232
20190221,059,14.136
20190221,059,21.257
20190221,059,27.825
20190221,059,30.034
20190221,059,15.062
20190221,059,30.448
20190221,059,10.328
20190221,059,22.643
20190221,059,27.348
20190221,059,29.316
20190221,059,17.968
20190221,059,27.044
20190221,059,4.722
20190221,059,7.08
20190221,059,10.572
20190221,059,25.702
20190221,059,25.927
20190221,059,8.452
20190221,059,21.35
20190221,059,31.709
20190221,059,8.44
20190221,059,6.068
20190221,059,3.162
20190221,059,19.785
20190221,059,6.194
20190221,059,8.858
20190221,059,24.555
20190221,059,7.02
20190221,059,15.86
20190221,059,9.931
20190221,059,24.155
20190221,059,14.55
20190221,059,15.881
20190221,059,13.342
20190221,059,13.88
20190221,059,8.528
20190221,059,27.549
20190221,059,22.528
20190221,059,20.965
20190221,059,16.441
20190221,059,26.07
20190221,059,25.338
20190221,059,14.459
20190221,059,14.727
20190221,059,10.472
20190221,059,25.781
20190221,059,23.193
20190221,059,20.249
20190221,059,20.508
20190221,059,13.973
20190221,015,2.899
20190221,015,5.575
20190221,015,4.411
20190221,015,1.699
20190221,015,3.662
20190221,015,6.812
20190221,015,15.747
20190221,015,1.874
20190221,015,6.118
20190221,015,2.973
20190221,015,13.492
20190221,015,2.08
20190221,015,1.056
20190221,015,1.491
20190221,015,10.117
20190221,015,12.157
20190221,015,12.324
20190221,015,2.255
20190221,015,11.982
20190221,015,13.969
20190221,015,2.937
20190221,015,1.896
20190221,015,10.323
20190221,015,4.782
20190221,015,1.312
20190221,015,7.693
20190221,015,9.445
20190221,015,3.751
20190221,015,7.954
20190221,015,6.829
20190221,015,18.904
20190221,015,4.289
20190221,015,3.679
20190221,015,12.126
20190221,015,10.675
20190221,015,5.429
20190221,015,9.708
20190221,015,1.774
20190221,015,10.484
20190221,015,8.942
20190221,015,2.982
20190221,015,5.541
20190221,015,2.867
20190221,015,1.288
20190221,015,1.939
20190221,015,14.031
20190221,015,5.132
20190221,015,12.375
20190221,015,3.578
20190221,015,3.143
20190221,015,6.242
20190221,015,12.872
