"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20181119,"20181119_TANK2","low",30.08,8.33,6.78065770936217,377.02730084985,7927.67199187866,2113.07685135693,6.48399370383418,2496.58814591062,2129.065174,0.099593333989636
20181119,"20181119_TANK3","amb",30.1,8.33,7.76361752018176,36.3423257893496,764.22793974809,1958.87835208207,57.8250112299687,2053.04568910139,2103.509902,0.888147906105006
20181119,"20181119_TANK3","amb",30.1,8.33,7.76361752018176,36.3835201500127,765.09420194653,1961.09875871753,57.890556412238,2055.37283527978,2105.861399,0.889154629928306
20181119,"20181119_TANK4","amb",30.11,8.34,7.76170090979701,36.5561778003855,769.031453518489,1962.4559825403,57.7130817701228,2056.72524211081,2106.767256,0.886426484126805
20181119,"20181119_TANK4","amb",30.11,8.34,7.76170090979701,36.5086291853288,768.031171178623,1959.90341633414,57.6380143732026,2054.05005989267,2104.064555,0.885273509330041
20181128,"20181128_TANK1","low",29.82,10.21,6.88101873862362,281.533176942041,6295.45527632353,2081.86766970973,8.61148793897138,2372.01233459075,2103.175231,0.132855965211386
20181128,"20181128_TANK1","low",29.82,10.21,6.88101873862362,282.526279690883,6317.66295076775,2089.2114170008,8.64186479343911,2380.37956148512,2110.579732,0.133324612017721
20181128,"20181128_TANK2","low",29.81,10.21,6.82944003604098,317.827245600501,7106.65409669409,2086.83977192807,7.663449222963,2412.33046675153,2105.754832,0.118232472248793
20181128,"20181128_TANK2","low",29.81,10.21,6.82944003604098,317.787543627978,7105.7663299382,2086.57909051566,7.66249192916679,2412.02912607281,2105.492236,0.118217703022965
20181128,"20181128_TANK3","amb",29.82,10.2,7.74375299608186,36.0941654766625,806.828662973173,1945.28729569785,58.6370972679761,2040.01855844248,2091.509742,0.904618610142454
20181128,"20181128_TANK3","amb",29.82,10.2,7.74375299608186,36.09070045258,806.75120751515,1945.10054896917,58.6314681323118,2039.82271755407,2091.311737,0.904531767151954
20181128,"20181128_TANK4","amb",29.82,10.19,7.74387792411493,36.1068455628447,806.845655597717,1946.03277430207,58.653395807409,2040.79301567233,2092.287199,0.904849641207894
20181128,"20181128_TANK4","amb",29.82,10.19,7.74387792411493,36.1115674840158,806.951172274642,1946.28726934902,58.6610662839377,2041.05990311697,2092.557035,0.904967974133709
